iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,1426064.9313547146,1426064.9313547146,1557743.1974098408,,,
1,0.1,1424424.5475949193,1579707.2025684346,1552826.5497351927,,,
2,0.2,1427146.7510061515,1737413.160455591,1551332.0472471947,,,
3,0.3,1428386.2597846831,1892610.9966252826,1547415.7894686563,,,
4,0.4,1418234.2735300343,2034417.8823162862,1540459.021965624,,,
5,0.5,1412612.290182088,2180288.345482622,1535352.1106010617,,,
6,0.6,1410932.6957818184,2331181.913912558,1533748.6968845604,,,
7,0.7,1409162.8092197306,2481510.115790519,1531924.7236725523,,,
8,0.8,1408744.6261517787,2632300.814182997,1529445.2350390234,,,
9,0.9,1409745.6134522324,2785753.3401174583,1528897.4740724722,,,
10,1,1410272.6670856331,2937572.89892666,1527300.2318410273,,,
11,1.1,1409909.9205826423,3088520.3165919497,1526009.4509175492,,,
12,1.2,1408803.153066343,3239202.583743216,1525332.8588973964,,,
13,1.3,1409994.1015383457,3391688.708406951,1524380.466822001,,,
14,1.4,1409731.395532015,3542544.829303007,1523438.1669792787,,,
15,1.5,1409231.658877502,3693406.932816424,1522783.5159592812,,,
16,1.6,1408917.466350298,3844316.259284895,1522124.24558412,,,
17,1.7,1407823.1418594979,3993582.2299004463,1521034.757671145,,,
18,1.8,1408838.2313929203,4145644.07747643,1520447.6922686137,,,
19,1.9,1409240.9939660816,4297527.508855654,1520150.7973102974,,,
20,2,1408801.1665795804,4447341.656942098,1519270.2451812597,,,
21,2.1,1409113.5386893319,4597909.958104889,1518474.4854359778,,,
22,2.2,1409117.0026352378,4748494.2321706945,1517898.740697933,,,
23,2.3,1409675.3715979422,4899827.725855966,1517457.545329576,,,
24,2.4,1410250.503268827,5050730.132405068,1516866.5121401001,,,
25,2.5,1410832.6197500052,5201839.828296791,1516402.8834187135,,,
26,2.6,1411254.4770677674,5353115.559787641,1516100.4164307201,,,
27,2.7,1411962.6746412367,5504665.156789407,1515815.7341289492,,,
28,2.8,1412353.3852524408,5655049.382300155,1515248.5703741766,,,
29,2.9,1413241.6836196058,5807107.856130514,1515126.2663830682,,,
30,3,1413573.5456464617,5958494.581184168,1514973.67851257,,,
31,3.1,1414131.4475975637,6109711.639890448,1514703.287836411,,,
32,3.2,1414786.7954085045,6260549.394840484,1514300.8123224927,,,
33,3.3,1415265.6047049495,6411554.265341117,1514026.8668594449,,,
34,3.4,1416960.0878618413,6561807.163223375,1513190.3162828037,,,
35,3.5,1417766.3365815717,6712126.327813167,1512674.2832090259,,,
36,3.6,1417946.6970979809,6862821.608735484,1512465.253232637,,,
37,3.7,1418851.386113263,7013421.363200795,1512045.9397533855,,,
38,3.8,1420135.8280311646,7164091.360651039,1511567.2454262816,,,
39,3.9,1420874.6474222273,7315112.651911535,1511343.0780741817,,,
40,4,1421663.5249823807,7466257.117827126,1511148.3982111875,,,
41,4.1,1421915.5200146078,7617082.3523995,1511016.3005816813,,,
42,4.2,1421909.7391167902,7767930.584783513,1510957.344206358,,,
43,4.3,1421995.3270600345,7918829.445510589,1510891.6554536154,,,
44,4.4,1422171.7556431761,8069716.379649746,1510805.5963651314,,,
45,4.5,1422303.8722053585,8220757.1196331605,1510767.3883172881,,,
46,4.6,1423771.193714833,8372164.078029099,1510520.1922422294,,,
47,4.7,1424492.515896953,8523457.993025007,1510418.1866229891,,,
48,4.8,1424582.040560783,8674278.751830995,1510353.481514627,,,
49,4.9,1424741.6290649674,8825280.557411153,1510314.067009425,,,
50,5,1425342.052964604,8976073.402017456,1510146.26981057,,,
51,5.1,1426340.0263915067,9127175.366501765,1509967.7137471063,,,
52,5.2,1427649.0927991564,9278226.463676484,1509726.4174764082,,,
53,5.3,1428304.9948643404,9429230.231032588,1509608.5351260845,,,
54,5.4,1429069.0578529125,9579816.496281773,1509397.673783123,,,
55,5.5,1429806.8931642182,9730533.341239726,1509222.9905591821,,,
56,5.6,1430053.8610514316,9881349.218799468,1509159.8853121481,,,
57,5.7,1430311.9331553094,10032116.742438188,1509088.5630320844,,,
58,5.8,1430575.016156244,10183147.947159104,1509064.2984487675,,,
59,5.9,1430739.3639872214,10334157.507560743,1509053.9226395797,,,
60,6,1431159.8052485618,10485045.832032353,1508981.0044639648,,,
61,6.1,1431564.2842763213,10635961.247828756,1508917.5350085946,,,
62,6.2,1432342.939804526,10786651.14456212,1508759.3878641308,,,
63,6.3,1433187.3622675687,10937129.979344578,1508562.3201709536,,,
64,6.4,1433952.1254971009,11087915.418972895,1508431.7646055988,,,
65,6.5,1434804.52283238,11238951.009133197,1508330.2286616666,,,
66,6.6,1435211.9369967137,11389053.754670484,1508157.8511626895,,,
67,6.7,1435647.8315485155,11540089.4918031,1508125.6209335246,,,
68,6.8,1435763.5744100905,11691011.992847594,1508124.7674172795,,,
69,6.9,1436869.5354271373,11841901.897792699,1507975.7046906601,,,
