iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,355386.06747345184,355386.06747345184,643847.8938465709,,,
1,0.1,356610.8685067385,420442.1132314993,638312.4472475946,,,
2,0.2,357456.92963658756,484161.3065944661,633521.884789393,,,
3,0.3,358289.3082916694,547368.6482283213,630264.4664555063,,,
4,0.4,358845.7989375069,610161.5110244754,628289.2802174193,,,
5,0.5,359930.4064610059,673118.8479441041,626376.8829662012,,,
6,0.6,360842.1509726168,735799.6088021902,624929.0963826254,,,
7,0.7,361774.1309878002,798297.879989166,623605.35571624,,,
8,0.8,362775.83925015497,860666.5743021558,622363.418814997,,,
9,0.9,363376.15147270245,922930.7460867512,621727.3273489414,,,
10,1,363897.70576326124,984915.4045768572,621017.6988135992,,,
11,1.1,364587.72378189076,1047066.3598416487,620435.1236906892,,,
12,1.2,365103.46019024303,1108942.8252006492,619866.1375086663,,,
13,1.3,365650.69447325246,1170912.8395270356,619432.4192721434,,,
14,1.4,366304.26042113476,1233018.8089944413,619081.8204095012,,,
15,1.5,366760.10314615705,1294952.8638835757,618795.1738249434,,,
16,1.6,367292.74135977146,1356898.868855054,618503.8296845475,,,
17,1.7,367693.9784499556,1418720.9812405847,618251.1781121314,,,
18,1.8,368016.88832558907,1480512.9754698565,618053.3817468141,,,
19,1.9,368371.78697174496,1542366.4645171307,617891.9355501999,,,
20,2,368762.7002219403,1604125.3291525836,617681.3144653194,,,
21,2.1,369374.8284385811,1666061.9410555866,617470.0536271443,,,
22,2.2,369873.15835362964,1727872.6911961276,617272.5149284148,,,
23,2.3,370208.5341537814,1789586.5739745698,617120.8868786085,,,
24,2.4,370576.2060321149,1851351.405701926,616989.6665290912,,,
25,2.5,370936.87872993253,1913124.3167024986,616874.9751890281,,,
26,2.6,371605.03056587017,1975076.1710142503,616719.6694032208,,,
27,2.7,371925.59520882077,2036720.9766331257,616590.8820090027,,,
28,2.8,371731.3322064074,2098093.631048503,616557.9638721759,,,
29,2.9,372025.96886638727,2159802.797208067,616474.7683936823,,,
30,3,372264.7514562339,2221525.802925498,616420.350489758,,,
31,3.1,372415.6591492866,2283204.2723008194,616383.4235972724,,,
32,3.2,372515.5726335677,2344802.2462622374,616339.5855089622,,,
33,3.3,372631.75661337306,2406422.141529548,616300.116641266,,,
34,3.4,372857.5988812319,2468124.0160801746,616254.8285879263,,,
35,3.5,372985.16126754077,2529752.597452997,616219.2674815597,,,
36,3.6,373141.65358381777,2591412.5776709206,616186.3678019792,,,
37,3.7,373288.000361863,2653064.595736452,616155.8365877323,,,
38,3.8,373465.1164882818,2714757.6508959588,616129.6143178113,,,
39,3.9,373645.744058923,2776424.510227255,616097.1195303393,,,
40,4,373801.5800806376,2838076.8294075616,616068.8123317293,,,
41,4.1,373979.16901503236,2899699.465090413,616029.3405061903,,,
42,4.2,374086.6843108116,2961314.771220407,616006.6873594252,,,
43,4.3,374228.02306079975,3022951.544982621,615982.2144004281,,,
44,4.4,374349.3135101137,3084552.0199779496,615955.1605608752,,,
45,4.5,374435.5426903119,3146148.2588706682,615936.1591511924,,,
46,4.6,374507.78158516076,3207729.5715768635,615917.7804329784,,,
47,4.7,374603.1466932077,3269362.1398712727,615906.1687612903,,,
48,4.8,374736.12767378765,3330992.895711834,615886.8266745945,,,
49,4.9,374773.16981064517,3392542.3018673207,615871.2514401408,,,
50,5,374821.41406067554,3454075.4450803343,615850.8062039344,,,
51,5.1,374882.3874799264,3515588.2382841855,615824.6766282883,,,
52,5.2,374980.0832397023,3577207.330656413,615812.932195525,,,
53,5.3,375102.27612523024,3638810.4854833074,615794.0017656789,,,
54,5.4,375189.6297021018,3700393.1060165395,615778.4215397101,,,
55,5.5,375255.1120342085,3761961.875636069,615764.8661094296,,,
56,5.6,375372.49398123694,3823551.1862266795,615746.1950438281,,,
57,5.7,375504.48499080515,3885177.4659608514,615732.1019245719,,,
58,5.8,375581.2806534064,3946761.807030728,615720.7804098846,,,
59,5.9,375646.86755280476,4008319.549032552,615707.2341491102,,,
60,6,375726.9687033759,4069918.608238402,615698.6065891682,,,
61,6.1,375795.0033454846,4131508.204824924,615690.6887671237,,,
62,6.2,375880.38300063025,4193122.6141158906,615684.2308250407,,,
63,6.3,376003.95112300257,4254723.769889439,615669.8125026089,,,
64,6.4,376059.50943868025,4316311.540740827,615664.3798909601,,,
65,6.5,376142.57745269546,4377901.275449758,615655.184307239,,,
66,6.6,376262.5318743284,4439533.593920064,615647.1306129927,,,
67,6.7,376339.6460160056,4501110.327263636,615637.4151115858,,,
68,6.8,376430.50098035537,4562718.751568108,615630.625086432,,,
69,6.9,376493.04576721234,4624309.709663886,615625.6034632843,,,
70,7,376643.90760333557,4685936.635773717,615613.2468814846,,,
71,7.1,376737.4657019396,4747547.5720712105,615607.0572351101,,,
72,7.2,376782.15696267586,4809115.651864807,615601.8742919654,,,
73,7.3,376905.2856034906,4870746.552918511,615594.6941527469,,,
74,7.4,377073.55589926447,4932375.509570118,615581.3450906543,,,
75,7.5,377115.87719344464,4993948.792815362,615577.7220829182,,,
76,7.6,377296.5159476113,5055576.422166883,615563.1455551691,,,
77,7.7,377327.01460290595,5117126.496246547,615558.3742394338,,,
78,7.8,377479.76440609555,5178776.921989371,615550.9176388817,,,
79,7.9,377496.0570917857,5240315.149224814,615546.7205231696,,,
80,8,377646.79979466705,5301944.204895841,615537.175637647,,,
81,8.1,377692.9029050793,5363516.677572893,615533.7993417071,,,
82,8.2,377774.7460602801,5425090.997219378,615526.3720925717,,,
83,8.3,377968.0763580204,5486756.738213228,615516.7062476126,,,
84,8.4,377913.73470617726,5548219.0521517,615512.5377911336,,,
85,8.5,377991.95792837447,5609793.352094732,615506.04637251,,,
86,8.6,378030.0302196398,5671312.15952445,615497.9220121836,,,
87,8.7,378071.4822521654,5732858.171698876,615492.7229249068,,,
88,8.8,378187.18318119284,5794451.000232103,615484.5246648685,,,
89,8.9,378233.7148845769,5856021.563005284,615481.7806877183,,,
90,9,378278.1765729879,5917593.48412613,615479.4786170152,,,
91,9.1,378325.7571319592,5979144.7498526005,615474.6145846864,,,
92,9.2,378375.20848445914,6040717.166754056,615471.9519858267,,,
93,9.3,378437.2784289609,6102296.91830457,615468.778481248,,,
94,9.4,378468.869096343,6163848.1554708015,615465.8815291945,,,
95,9.5,378574.62036392116,6225447.655255417,615460.3194622564,,,
96,9.6,378614.8468266276,6286987.442748094,615455.4787418153,,,
97,9.7,378667.1137788618,6348544.252825267,615451.2514480847,,,
98,9.8,378706.7946792083,6410103.854504823,615448.6795740403,,,
99,9.9,378730.93858904205,6471659.807008405,615447.3604463979,,,
100,10,378775.27628772747,6533220.7028592825,615444.5426571509,,,
