iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,355386.06747345184,355386.06747345184,643847.8938465709,111477.84940449802,15936.815816686609,-0
1,0.1,355473.7309997856,357014.29576648766,643715.2556828517,111423.18796473162,15405.647667022686,-0
2,0.2,355557.72133164864,358488.1531107143,643611.118785576,111155.28084611935,14652.158895328665,-0
3,0.3,355695.3568106892,359970.32599770214,643705.7546081401,111145.0785337258,14249.897290042796,-0
4,0.4,355857.61623041955,361434.1225558748,643978.2108315113,111252.20416393198,13941.265813639071,-0
5,0.5,356063.45245285094,362949.4009985258,644287.2196759812,111231.19561034416,13771.897091349365,-0
6,0.6,356220.9556976575,364409.3899208062,644428.8529293893,111272.1901479678,13647.390371915044,-0
7,0.7,356337.63626958267,365801.61088568124,644541.3833090954,111370.0199222868,13519.9637372845,-0
8,0.8,356486.10248171864,367277.6708385152,644735.8452076671,111375.35461714,13489.460445995544,-0
9,0.9,356562.48967546923,368655.13634029706,644854.4157673147,111414.22564384998,13436.274072031278,-0
10,1,356717.90384501294,370049.794158835,645124.9215699185,111328.77521650876,13331.890313822192,-0
11,1.1,356810.2479951586,371465.3407710221,645327.156921959,111324.45463931865,13322.811614421535,-0
12,1.2,356931.60162505956,372893.0894146429,645519.8174408646,111285.16568869061,13301.239824652781,-0
13,1.3,356946.34632886376,374231.3597089196,645594.7057927472,111276.04276375537,13296.164138504591,-0
14,1.4,357038.57132572157,375624.51323092345,645831.0956729864,111274.96533353257,13275.67278942954,-0
15,1.5,357148.8911156733,377028.52736347896,645903.022530527,111206.26632815602,13253.090831870923,-0
16,1.6,357210.0947876045,378386.66277402075,645930.5903084571,111193.81452956708,13235.354991510183,-0
17,1.7,357249.0571501515,379732.0558529336,645999.0038302777,111183.74713937666,13225.29335457771,-0
18,1.8,357311.64035867556,381097.0939138463,646077.937369819,111166.97489457409,13214.140863983986,-0
19,1.9,357358.008750232,382448.97642324725,646261.9980490814,111163.16477260763,13205.772459481777,-0
20,2,357453.4505448784,383846.19554103917,646328.8103259763,111157.05434072645,13196.372498080902,-0
21,2.1,357583.48543925147,385282.5434937779,646521.6644132112,111154.31824077244,13190.027645012631,-0
22,2.2,357576.8423210244,386589.72350410477,646497.1860230913,111154.90716147947,13187.673265036585,-0
23,2.3,357634.24636783917,387958.20212138875,646625.1287293528,111156.11980105986,13184.328588500191,-0
24,2.4,357711.89653713466,389341.72492734395,646745.6054361337,111144.93278265663,13179.095162587093,-0
25,2.5,357766.9208552112,390695.9407693129,646805.1700287611,111137.47375777997,13171.607965640818,-0
26,2.6,357855.37868616154,392096.9593885843,646923.2944275122,111115.13339630602,13169.8387317012,-0
27,2.7,357834.90293281886,393377.75793551165,646945.27480316,111115.43664605457,13164.020371367937,-0
28,2.8,357871.75988709164,394726.23476004525,647056.9037953521,111107.79952909889,13162.312454626814,-0
29,2.9,357961.532251851,396128.6008320187,647076.9743083686,111098.21494287747,13161.058131092825,-0
30,3,358011.102295774,397486.4402779457,647191.0343470759,111115.28661256983,13158.445994057556,-0
31,3.1,357995.93623016664,398787.31114280736,647314.390386505,111115.64489150186,13158.508036335958,-0
32,3.2,358023.8339256924,400127.1925759577,647356.0009260436,111128.03183672624,13157.299578207972,-0
33,3.3,358056.78370609274,401472.1312307615,647395.6476099694,111118.69737392671,13156.16591656648,-0
34,3.4,358079.2736959649,402799.8235882229,647443.2784200994,111102.68607709782,13153.102909487834,-0
35,3.5,358099.3129627118,404120.78532858344,647483.1397972878,111094.39955355159,13148.99210453495,-0
36,3.6,358113.23175597854,405448.9326119804,647510.0293063396,111101.94657250143,13148.805793333837,-0
37,3.7,358146.79825709667,406797.1511591801,647480.3051348476,111095.61597097096,13148.74402759046,-0
38,3.8,358180.19523416297,408145.8851437883,647517.2433368149,111096.08566842339,13148.865765690853,-0
39,3.9,358176.45467321324,409455.9557390546,647547.0281766325,111093.7222589705,13148.590016882425,-0
40,4,358229.353467296,410825.32280492084,647559.8159115145,111093.8858911751,13148.99233440638,-0
41,4.1,358250.78041962394,412157.75256130495,647622.831222415,111102.34076890381,13148.041985776117,-0
42,4.2,358350.36929484573,413571.5071225241,647652.6813547139,111106.39981916426,13147.88995897127,-0
43,4.3,358313.4241214476,414840.02264083707,647599.3679805803,111087.15466398858,13145.720585904675,-0
44,4.4,358278.0190401965,416117.98925315705,647631.7781086337,111089.07781721032,13145.447775672796,-0
45,4.5,358312.8979050436,417468.01568822534,647661.5882851449,111111.3986754445,13145.581729596255,-0
46,4.6,358384.77651782305,418854.90345620556,647688.0720441736,111069.29441225235,13145.679769213453,-0
47,4.7,358347.4421394488,420131.72051570937,647635.188992873,111098.27955127918,13145.591143885531,-0
48,4.8,358344.96196557174,421439.46896126174,647783.8416094126,111087.589087529,13144.688957435685,-0
