iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,355380.2201288121,355380.2201288121,643825.3811712456,111478.55755294177,15929.6932600181,50125.161775136316
1,0.1,355463.5689927508,355463.66899275075,643870.0845422088,111328.81827590268,15758.543089851064,49989.60880842492
2,0.2,355505.9325365854,355506.1325365854,643886.5576808504,110863.46449460414,15321.972245222862,49605.87069675101
3,0.3,355571.66317804065,355571.96317804063,644017.2854772228,110691.78293998989,15152.510099838124,49488.15893366805
4,0.4,355682.19194736815,355682.5919473682,644273.8480056754,110519.43329764919,14994.506580893849,49393.06920918614
5,0.5,355770.67316672433,355771.17316672433,644514.7106139638,110358.5619600013,14889.95012703726,49322.77719580357
6,0.6,355983.71827978105,355984.31827978103,644835.0862747881,110262.99225671552,14814.467156806384,49263.931222170555
7,0.7,356081.13395413663,356081.83395413664,644975.785342052,110204.26217988311,14751.293134359565,49211.61260980189
8,0.8,356163.93346937525,356164.73346937523,645096.309759649,110125.07490460065,14689.223306297896,49178.014334241234
9,0.9,356277.4644426144,356278.36444261443,645291.7001275867,110061.52528586947,14649.501009947287,49162.41696932936
10,1,356407.67034292524,356408.67034292524,645604.8164877454,109939.67102272672,14562.33976906309,49079.633922783745
11,1.1,356477.43176182266,356478.53176182264,645730.4697276801,109908.32088023816,14541.010721226836,49065.62444053566
12,1.2,356606.7274273895,356607.9274273895,645958.5355123639,109879.66683401259,14518.64205512462,49050.4970587909
13,1.3,356658.7212098523,356660.0212098523,646052.2936869818,109842.41492826983,14504.979534792987,49038.92232288078
14,1.4,356740.330796104,356741.730796104,646337.0409005028,109812.3173584245,14488.010804932028,49023.32054539281
15,1.5,356897.93557657284,356899.43557657284,646545.7389160101,109727.70202948824,14454.029706392346,49013.39115493696
16,1.6,356949.02966420475,356950.6296642047,646611.6790793444,109690.82108356817,14425.794961567584,48993.05429333536
17,1.7,356997.3973823157,356999.0973823157,646707.5192773847,109669.54965648246,14406.281444635528,48985.12355261176
18,1.8,357034.93448573176,357036.73448573175,646839.2406887884,109665.82403772292,14394.82783580066,48975.147578390824
19,1.9,357116.1974075908,357118.09740759083,646939.4656118932,109652.40767206367,14387.805965136453,48969.919078741346
20,2,357187.48326823645,357189.48326823645,646982.3294363456,109646.75961407035,14380.845845381917,48960.129438204014
21,2.1,357380.86001971,357382.96001970995,647313.7045440741,109625.1811972199,14349.079312886819,48949.05350942009
22,2.2,357382.33902707393,357384.53902707394,647282.2758673544,109623.18804733414,14339.225549486526,48949.03840604081
23,2.3,357533.0574647243,357535.3574647243,647417.9667958176,109606.54018740037,14330.128997909549,48942.32974367574
24,2.4,357547.60658315266,357550.0065831527,647530.7593251452,109593.327763341,14324.702689360636,48936.64867340341
25,2.5,357621.78742436494,357624.28742436494,647685.471835546,109556.1538093752,14303.943961104298,48933.90679733033
26,2.6,357680.75002734666,357683.35002734663,647808.2468750763,109552.65426249031,14298.34601712361,48927.281802348145
27,2.7,357711.1146286132,357713.81462861324,647786.6661554358,109559.23389881835,14298.557214881048,48926.867
28,2.8,357731.72248315223,357734.5224831522,647895.0903935359,109554.77770328589,14296.318012526943,48925.27517548179
29,2.9,357769.99204394483,357772.89204394486,647928.7738178049,109546.99119637573,14293.869742185343,48923.7307712626
30,3,357797.2965831047,357800.2965831047,648092.2304919082,109540.07902240864,14290.483073070354,48920.255999999994
31,3.1,357834.426181685,357837.526181685,648168.7598107823,109554.33012470951,14290.39425151509,48918.53870172249
32,3.2,357885.05123042734,357888.25123042736,648238.3505502817,109543.01620360637,14288.117351254568,48917.0885323803
33,3.3,357934.8213426063,357938.12134260626,648247.480691471,109543.64634962402,14286.379691752945,48914.616907883625
34,3.4,357961.7380087134,357965.13800871343,648360.1129091053,109551.6233450607,14277.237201976302,48914.034815020175
35,3.5,357982.2744792964,357985.7744792964,648398.6143188452,109519.94161341242,14278.314192739193,48914.030999999995
36,3.6,358010.6970655285,358014.29706552846,648383.216980489,109546.46887433686,14274.978510114286,48913.00503007515
37,3.7,357982.2296909615,357985.9296909615,648367.4675703249,109525.1504046481,14275.377216775869,48912.98046545231
38,3.8,358037.9321884224,358041.7321884224,648401.5630650765,109521.87459417073,14274.285501020042,48912.97899999999
39,3.9,358045.5970789253,358049.4970789253,648443.5162848012,109528.7352132832,14273.874042429226,48911.45637539617
40,4,358103.321493942,358107.321493942,648503.4614394642,109517.23265973221,14272.30231364176,48909.97245077447
41,4.1,358158.17949220835,358162.2794922083,648534.9243296402,109523.20679742261,14267.481841759294,48909.954530913164
42,4.2,358152.23970843875,358156.43970843876,648595.5884810112,109519.14214712653,14264.888843369825,48908.777
43,4.3,358192.01503128215,358196.31503128214,648554.0094535941,109514.5547058944,14265.340722856527,48908.777
44,4.4,358173.6351587384,358178.03515873844,648611.1069927259,109535.60075833923,14263.592092078785,48908.768520108606
45,4.5,358183.82134987944,358188.32134987944,648597.3582466042,109520.05521013291,14263.175694268108,48907.605400446686
46,4.6,358187.70884373225,358192.30884373223,648610.1392045278,109517.85853956628,14263.182432765496,48907.588519511184
47,4.7,358178.57096852415,358183.27096852416,648646.5487910034,109514.69168810344,14261.090845432314,48906.5343904518
48,4.8,358251.4463368843,358256.2463368843,648661.6076841354,109519.51771830228,14261.475763044658,48906.524999999994
49,4.9,358262.2170129756,358267.1170129756,648748.5518903427,109520.2635433286,14261.278873597308,48905.60277847996
50,5,358267.9694015576,358272.9694015576,648816.2179197837,109507.95347800867,14261.651181522422,48905.507
51,5.1,358244.5312877667,358249.6312877667,648791.2621262892,109513.80160383301,14261.542742847572,48905.507
52,5.2,358293.2456938029,358298.4456938029,648801.6734931649,109532.59127713824,14260.446287026236,48904.46336693911
53,5.3,358284.9347745714,358290.2347745714,648760.4003855434,109528.04937681579,14260.778152464163,48904.45
54,5.4,358281.3823740454,358286.7823740454,648819.6871972091,109517.82519854291,14261.104290887923,48904.45
55,5.5,358445.3757057615,358450.8757057615,648870.5146160324,109496.8173035653,14260.219395251344,48904.45
56,5.6,358296.90557144355,358302.50557144353,648766.871923732,109504.09316123124,14260.76422699941,48904.45
57,5.7,358318.2160462995,358323.9160462995,648888.490408857,109530.71454274723,14258.586287232669,48904.45
58,5.8,358311.91808450554,358317.7180845055,648866.3031912888,109527.66959163445,14260.01368224765,48904.45
59,5.9,358471.0865704962,358476.9865704962,648802.9300207796,109564.76127249909,14261.134927586936,48904.45
60,6,358239.72338893835,358245.72338893835,648878.4322960358,109510.1530442734,14260.686424377287,48904.45
61,6.1,358294.9316040682,358301.0316040682,648905.2701749252,109511.08750883583,14259.209697536699,48904.45
62,6.2,358372.19224434777,358378.3922443478,648908.4779488272,109513.92334450847,14259.626411234887,48904.45
63,6.3,358320.7275432803,358327.0275432803,648924.2958261697,109503.48437361543,14259.55622046929,48904.45
64,6.4,358307.884734744,358314.284734744,648913.3441200387,109509.6056507782,14260.16961952317,48904.45
65,6.5,358300.580319709,358307.080319709,648932.2329469098,109540.96935474369,14259.850355485712,48904.45
66,6.6,358313.5723881236,358320.1723881236,648970.532412451,109533.60769606878,14259.49362688313,48904.45
67,6.7,358355.09954152425,358361.79954152426,648968.3755630469,109513.84282697373,14260.17162535355,48904.45
68,6.8,358303.14223114424,358309.94223114423,648916.9813975745,109521.64822664422,14259.021319810068,48904.45
69,6.9,358465.61541391053,358472.51541391056,648949.5800644603,109489.6961532834,14260.15110637516,48904.45
70,7,358379.7874034093,358386.7874034093,648984.9733759018,109517.95559608386,14260.148462866833,48904.45
71,7.1,358291.4886850659,358298.58868506586,648933.3931014198,109501.84877805196,14260.869922003487,48904.45
72,7.2,358425.5081624223,358432.7081624223,648921.3433220682,109539.84396428903,14260.860178378523,48904.45
73,7.3,358325.63821198005,358332.93821198004,648935.9741190593,109525.80616025155,14261.737019459279,48904.45
74,7.4,358349.35455151665,358356.7545515167,648978.269282064,109512.9975229249,14258.103680205157,48904.45
75,7.5,358350.37407999416,358357.87407999416,648976.7881987855,109511.71194835866,14258.107083448182,48904.45
76,7.6,358356.6658933273,358364.2658933273,648977.5419809227,109511.54257645436,14258.105424528536,48904.45
77,7.7,358362.58457333327,358370.2845733333,648972.1706918953,109518.68341520199,14258.355672461888,48904.45
78,7.8,358427.8976313209,358435.6976313209,648922.2008661148,109518.3183929632,14259.975543799295,48904.45
79,7.9,358365.3545820775,358373.2545820775,648967.260387238,109525.63420264528,14260.55809236273,48904.45
80,8,358368.11113760335,358376.11113760335,648934.239132108,109514.47191034064,14259.992176175783,48904.45
