iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,12182.199375810456,12182.199375810456,17348.491142997733,,,
1,0.1,12271.159468618174,13996.415749619093,17252.56281000925,,,
2,0.2,12351.071072472772,15781.399407393268,17151.641674602513,,,
3,0.3,12525.066116804577,17640.266542963625,17050.668087196867,,,
4,0.4,12604.345062467237,19424.142397279018,17049.49333702943,,,
5,0.5,12683.480624790926,21188.027070101667,17009.092890621465,,,
6,0.6,12744.426494596402,22924.311826781322,16966.475553641554,,,
7,0.7,12935.406212165612,24746.826679165628,16873.457809999996,,,
8,0.8,12936.528442425924,26442.798758524365,16882.83789512304,,,
9,0.9,13017.317989344037,28198.660225954103,16868.158040677867,,,
10,1,13023.676878796747,29889.780078796743,16866.103199999998,,,
11,1.1,13043.869628242326,31574.94543792511,16846.43255425708,,,
12,1.2,13056.327901966693,33261.65845396669,16837.77546,,,
13,1.3,13061.570527826547,34942.51571782654,16831.496299999995,,,
14,1.4,13013.66597401089,36573.742528010895,16828.62611,,,
15,1.5,13195.709255112977,38419.22624756127,16815.677994965543,,,
16,1.6,13370.742996090961,40244.53297875991,16796.11873916808,,,
17,1.7,13314.495285908783,41862.01461146396,16792.658426797163,,,
18,1.8,13313.168357557419,43541.441656380346,16793.485166012753,,,
19,1.9,13542.832647606589,45408.25407410305,16771.27443499813,,,
20,2,13360.11864014007,46944.242185576855,16792.061772718407,,,
21,2.1,13585.15555893705,48796.215816866,16767.17155139473,,,
22,2.2,13793.52839127777,50636.543716053886,16746.825147625517,,,
23,2.3,13960.119328466528,52450.07604779486,16734.76379101232,,,
24,2.4,14024.288251526468,54170.26794610572,16727.491539408,,,
25,2.5,14055.811297598013,55862.46807821631,16722.662712247315,,,
26,2.6,14259.99716175357,57699.040794601584,16707.32447417231,,,
27,2.7,14354.704980176379,59448.440394884434,16701.38348692891,,,
28,2.8,14455.91624808784,61196.62038161457,16693.108619116683,,,
29,2.9,14547.098567936064,62935.124664497795,16685.526240193685,,,
30,3,14590.666981452607,64629.20124515221,16679.511421233183,,,
31,3.1,14558.75634088569,66270.6898663718,16681.268879189043,,,
