iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,23482.69051483911,23482.69051483911,29086.98679029413,,,
1,0.1,23512.98803625634,26405.59096692655,28926.029306701945,,,
2,0.2,24005.309645693414,29780.68036440974,28876.85359358185,,,
3,0.3,23854.894741168908,32546.773552668586,28972.929371665567,,,
4,0.4,24127.345666014575,35676.162299336494,28872.041583304865,,,
5,0.5,24080.22595119106,38450.16389614996,28739.875889917752,,,
6,0.6,23995.03345950415,41195.141016829286,28666.845928875242,,,
7,0.7,24219.631666783207,44238.83523153405,28598.862235358334,,,
8,0.8,24298.51996800616,47176.57904921145,28597.573851506557,,,
9,0.9,24478.603390470536,50215.94979841434,28597.051564381985,,,
10,1,24663.589497184137,53210.869382909594,28547.279885725453,,,
11,1.1,24533.623326568126,55904.93964186024,28519.378468447412,,,
12,1.2,24577.4497555849,58789.13165549759,28509.734916593876,,,
13,1.3,24633.891366024276,61739.282053315605,28542.608220993374,,,
14,1.4,24668.233751862903,64616.26225896593,28534.306076502136,,,
15,1.5,24813.067762586437,67505.27242132956,28461.469772495446,,,
16,1.6,24853.963448134007,70379.59527042175,28453.519888929834,,,
17,1.7,24867.577346867616,73134.35432286837,28392.22175058864,,,
18,1.8,24896.262575352608,75995.44298207822,28388.433559292032,,,
19,1.9,24924.52171440847,78854.32075311856,28384.10475721582,,,
20,2,24953.42641375152,81707.3393885597,28376.95648740412,,,
21,2.1,24983.69842331032,84568.77788782999,28373.84736405699,,,
22,2.2,25025.919333207163,87420.45957871154,28361.154657047427,,,
23,2.3,25066.394485717625,90287.59130609196,28357.042095814966,,,
24,2.4,25113.898225289988,93145.15021930849,28346.35499750775,,,
25,2.5,25166.77537781338,96019.76538273279,28341.19600196779,,,
26,2.6,25201.546699163096,98881.81907484925,28338.566298340862,,,
27,2.7,25262.22887093889,101765.78602407948,28334.650797459508,,,
28,2.8,25299.992815621346,104629.85817559027,28332.09477141748,,,
29,2.9,25339.48634714306,107488.14022420322,28327.122026572473,,,
30,3,25397.39752322071,110348.92741982783,28317.176632202343,,,
31,3.1,25440.341136473297,113211.08329365354,28313.142631348503,,,
32,3.2,25478.370948266383,116067.96827265694,28309.249163872068,,,
33,3.3,25534.014586200803,118942.4978173494,28305.600979135972,,,
34,3.4,25573.42325850546,121796.73520459779,28300.974101791864,,,
35,3.5,25635.304230414873,124673.25669496009,28296.557847012933,,,
36,3.6,25670.946029050156,127526.77195468235,28293.28497934232,,,
37,3.7,25706.33657359218,130381.77073509445,28290.657881487135,,,
38,3.8,25737.67299401386,133227.99111210412,28286.925820550103,,,
39,3.9,25854.30276336593,136101.10707882457,28268.41136293812,,,
40,4,25878.62391095244,138946.61853502668,28266.998656018583,,,
41,4.1,25934.563239467283,141809.00484207392,28262.05892746502,,,
42,4.2,25990.907923199273,144656.55127670275,28253.724607976957,,,
43,4.3,26045.493106736998,147519.08993185154,28249.6736802592,,,
44,4.4,26099.904576420624,150381.79532983972,28245.884262140695,,,
45,4.5,26152.094618997493,153243.82509637013,28242.606772749492,,,
46,4.6,26180.936953654316,156088.6229759479,28240.801309194256,,,
47,4.7,26243.854676950243,158964.41541055703,28238.417177363124,,,
48,4.8,26278.012619853253,161804.20864844375,28234.624172622985,,,
49,4.9,26311.309731129935,164656.16421261415,28233.643771731484,,,
50,5,26346.79590946644,167506.3964529216,28231.920108691036,,,
51,5.1,26382.142670983958,170355.54936703944,28230.079744324627,,,
52,5.2,26418.20724219339,173205.98023121525,28228.417882504156,,,
53,5.3,26454.472056799073,176056.43444053576,28226.785355422013,,,
54,5.4,26490.954079006995,178906.87036606067,28225.169682787746,,,
55,5.5,26527.374439213185,181756.68130474724,28223.51033918803,,,
56,5.6,26563.924494953353,184606.13621029086,28221.823520595968,,,
57,5.7,26600.912248433342,187455.79692845017,28220.155207020514,,,
58,5.8,26645.322636287936,190310.33313427723,28218.10525827405,,,
59,5.9,26692.619847007867,193166.64560463818,28215.93656908985,,,
60,6,26740.51481681357,196023.2368805405,28213.787010621178,,,
61,6.1,26788.986989279263,198880.08347787903,28211.65516206556,,,
62,6.2,26839.965944917698,201736.7252065238,28209.154719613918,,,
63,6.3,26887.484140952052,204590.2837825183,28206.793593899412,,,
64,6.4,26913.965391921083,207430.45935737007,28205.7021821014,,,
65,6.5,26940.897494430406,210270.84067565243,28204.60664326493,,,
66,6.6,26968.3601503573,213111.47131707676,28203.50169192721,,,
67,6.7,26995.89403302219,215952.03554062764,28202.409180239636,,,
68,6.8,27023.544014264982,218792.61849352164,28201.33448224367,,,
69,6.9,27052.386805769893,221628.7070561692,28199.466702956437,,,
70,7,27081.77724135766,224464.25941924786,28197.497453984335,,,
71,7.1,27111.447963543767,227299.96185194273,28195.56533639423,,,
72,7.2,27140.97418685387,230139.3815193105,28194.223240618976,,,
73,7.3,27170.075518859645,232979.91467174687,28193.12865108043,,,
74,7.4,27199.83556967751,235820.77498893466,28192.018840440145,,,
75,7.5,27229.978371607853,238661.74124319054,28190.901716211018,,,
76,7.6,27259.3395867824,241503.42193445642,28190.010835220277,,,
77,7.7,27288.88146484499,244345.57798125834,28189.18136576795,,,
78,7.8,27317.94370487934,247187.2726546925,28188.375506386303,,,
79,7.9,27349.849773472866,250030.85304622466,28187.46876870273,,,
80,8,27378.78756363265,252871.5876157991,28186.600006520817,,,
81,8.1,27411.87592185718,255711.19733625802,28185.101409185278,,,
82,8.2,27442.27536336826,258551.72054205212,28184.078680327304,,,
83,8.3,27476.034896026707,261395.1127494714,28183.021428125845,,,
84,8.4,27506.33942561841,264237.2559948049,28182.251972522216,,,
85,8.5,27536.849681694126,267079.4899685566,28181.48709257207,,,
86,8.6,27567.509190353252,269921.7623486682,28180.727111431952,,,
87,8.7,27598.287700519475,272764.0810074173,28179.97624217217,,,
88,8.8,27629.40492614831,275606.5915339631,28179.225750888043,,,
89,8.9,27660.516424124595,278449.0214965967,28178.48371600811,,,
90,9,27691.704967617152,281291.463430371,28177.750940305992,,,
91,9.1,27724.9182577538,284134.0116148859,28176.823445838705,,,
92,9.2,27756.44399861885,286976.5564257665,28176.099176863852,,,
93,9.3,27788.15958525378,289819.19080713764,28175.37970127785,,,
94,9.4,27819.50985021372,292661.50937511254,28174.68080052117,,,
95,9.5,27849.986269095563,295503.2258892051,28174.025223169465,,,
96,9.6,27888.269197735448,298345.02464640694,28172.57869256996,,,
97,9.7,27934.653833806806,301187.6557165144,28170.4125652276,,,
98,9.8,27969.49758824426,304029.3714206866,28169.374880861462,,,
99,9.9,28000.180203687596,306870.71625664766,28168.741015450512,,,
100,10,28031.090689075827,309712.1913640497,28168.11006749742,,,
