iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,11965.027435052969,11965.027435052969,16841.604616181925,,,
1,0.1,11996.530320046866,13679.731791846494,16832.014717996368,,,
2,0.2,12012.048589405242,15371.69385056892,16798.226305818396,,,
3,0.3,12093.237676535968,17116.343795491022,16743.687063183566,,,
4,0.4,12089.895457476414,18797.784494968597,16769.722593730472,,,
5,0.5,12146.643053400383,20510.21057480777,16727.135042814803,,,
6,0.6,12204.795989900576,22231.28784838564,16710.819764141765,,,
7,0.7,12271.95786256177,23903.963687604934,16617.151178633118,,,
8,0.8,12324.677714661855,25595.038935957702,16587.951526619803,,,
9,0.9,12370.867896181697,27294.33513890362,16581.63026969105,,,
10,1,12421.001296932547,28974.311181248657,16553.309884316128,,,
11,1.1,12475.019992538688,30675.95765091365,16546.30696215907,,,
12,1.2,12408.959325658048,32277.579787266426,16557.183718007,,,
13,1.3,12590.852570183062,34083.021179684205,16532.437391923948,,,
14,1.4,12489.603847518849,35652.65592441899,16545.037197785845,,,
15,1.5,12607.394197235595,37403.49395881583,16530.733174386798,,,
16,1.6,12849.962484479563,39262.16543062689,16507.626841342106,,,
17,1.7,12644.838273457155,40747.717505579065,16531.105430659965,,,
18,1.8,12718.877587172847,42455.09015163167,16520.118091366014,,,
19,1.9,12827.092206035317,44190.21761351999,16506.908109202483,,,
20,2,12917.18212478134,45902.48918003713,16492.6535276279,,,
21,2.1,12980.613801922867,47596.59786310189,16483.80193389477,,,
22,2.2,13195.876329252289,49417.93878367145,16464.573842917798,,,
23,2.3,13294.660332417037,51148.66071334539,16458.261035186224,,,
24,2.4,13138.479754437529,52662.58831222615,16468.37856574526,,,
25,2.5,13379.827594467433,54507.90031918556,16451.229089887245,,,
26,2.6,13253.161528443505,56045.846597712116,16458.725026641787,,,
27,2.7,13342.40342558806,57764.2127347001,16452.521966337805,,,
28,2.8,13409.092099169318,59464.04605647514,16448.19784189492,,,
29,2.9,13475.243561430883,61160.35749133733,16443.142734450506,,,
30,3,13535.785751731504,62854.82762456874,16439.680624279066,,,
31,3.1,13596.926085193583,64549.39133214963,16436.279111921296,,,
32,3.2,14031.491849982825,66556.86608998282,16414.179449999996,,,
33,3.3,13709.087269330412,67930.33331009255,16430.68061841277,,,
34,3.4,14031.491849982827,69839.70197998277,16414.179449999996,,,
35,3.5,14031.491849982825,71481.1199249828,16414.179449999996,,,
36,3.6,14031.491849982827,73122.53786998279,16414.179449999996,,,
37,3.7,14031.491849982825,74763.95581498275,16414.179449999996,,,
38,3.8,14031.491849982827,76405.37375998279,16414.179449999996,,,
39,3.9,13478.156239546945,77600.21847498344,16441.554419342694,,,
40,4,14031.491849982827,79688.20964998283,16414.179449999996,,,
41,4.1,14032.299590309689,81322.48838730979,16412.241169999994,,,
42,4.2,14032.29959030969,82963.71250430975,16412.241169999994,,,
43,4.3,14032.299590309689,84604.93662130964,16412.241169999994,,,
44,4.4,14132.876852250198,86334.57888710302,16409.477735193817,,,
45,4.5,14158.988404074877,87990.12624407484,16406.919519999992,,,
46,4.6,14158.988404074875,89630.81819607488,16406.919519999992,,,
47,4.7,14084.585536185868,91211.11037392973,16409.898901647608,,,
48,4.8,14158.988404074875,92912.20210007488,16406.919519999992,,,
49,4.9,14158.988404074875,94552.89405207495,16406.919519999992,,,
50,5,14158.988404074875,96193.58600407487,16406.919519999992,,,
