iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,124669.4718980342,124669.4718980342,3419.2119559847015,,,
1,1,125116.64641972198,128529.3681820195,3412.7217622975527,,,
2,2,125517.29325932768,132331.90556606487,3407.3061533686046,,,
3,3,125891.89166363345,136099.5966201519,3402.568318839487,,,
4,4,126271.30208925504,139863.52099510055,3398.054726461377,,,
5,5,126561.28917073921,143535.26812336573,3394.7957905253093,,,
6,6,126856.40209459938,147206.35413045262,3391.6586726422006,,,
7,7,127164.89659724552,150884.7085951601,3388.5445711306525,,,
8,8,127489.50774484436,154572.91249475186,3385.4255937384282,,,
9,9,127827.8731404593,158268.78661499373,3382.3237193927107,,,
10,10,128181.18325925607,161973.45589938347,3379.22726401273,,,
11,11,128568.43487777234,165704.14907579205,3375.974018001791,,,
12,12,128957.48426417285,169431.55333886924,3372.8390895580364,,,
13,13,129389.72531213443,173193.13831064498,3369.493307577729,,,
14,14,129855.39476252988,176979.6834561969,3366.0206209762205,,,
15,15,130312.80664503766,180753.76295899865,3362.7304209307385,,,
16,16,130759.83229587697,184513.88216567176,3359.628116862169,,,
17,17,131210.73651794897,188272.99128730915,3356.6032217270695,,,
18,18,131658.04252890774,192024.63901216912,3353.699804625633,,,
19,19,132119.0671366025,195784.30299145626,3350.801887097565,,,
20,20,132695.7865817057,199641.56083180502,3347.2887125049633,,,
21,21,133326.42845423653,203541.1732823594,3343.559277529664,,,
22,22,133979.38898264407,207455.17453378657,3339.8084341428366,,,
23,23,134603.1149966143,211338.54499133903,3336.323043248905,,,
24,24,134871.98888259893,214908.57651164383,3334.857817876868,,,
25,25,135044.85468148743,218393.43418790394,3333.943180256657,,,
26,26,135221.52998587638,221880.374446727,3333.032479263491,,,
27,27,135401.65891926817,225369.10613670133,3332.1276747197467,,,
28,28,135584.29785451145,228858.80798425063,3331.2325046335454,,,
29,29,135770.4654450859,232350.38543850032,3330.3420687384296,,,
30,30,135940.1126238403,235826.57460873658,3329.5487328298736,,,
31,31,136074.3074535779,239271.32647798472,3328.9360975615095,,,
32,32,136209.7413147502,242716.35298792078,3328.331614786583,,,
33,33,136372.63446367419,246184.12853342865,3327.621032416803,,,
34,34,136554.4638699134,249667.17745633263,3326.8445172476236,,,
35,35,136737.60969929135,253150.35283661014,3326.0783753519645,,,
36,36,136926.59031166992,256637.53967148685,3325.3041488838053,,,
37,37,137116.49527958292,260124.54516096055,3324.5418886858843,,,
38,38,137309.4720570897,263613.2085513137,3323.7825393216867,,,
39,39,137503.99352685118,267102.23986151954,3323.0319572991884,,,
40,40,137700.43754289846,270591.9632063569,3322.288141586464,,,
41,41,137888.6469147267,274073.765589505,3321.588260360449,,,
42,42,138041.78959486846,277525.0245045553,3321.0294026115935,,,
43,43,138196.716155394,280977.10696612485,3320.4742049007164,,,
44,44,138352.6783291427,284429.3762732594,3319.9249532753797,,,
45,45,138510.57643598955,287882.6165801864,3319.378669871042,,,
46,46,138670.68639463288,291337.05258664535,3318.8340476524427,,,
47,47,138832.59473399632,294792.34961693484,3318.292657083796,,,
48,48,138995.3432253879,298247.69585311494,3317.7573464109787,,,
49,49,139169.71347018072,301712.1828235768,3317.193252110122,,,
50,50,139385.9372065801,305211.1860975127,3316.5049778186535,,,
51,51,139617.97959929786,308722.64770144987,3315.7778059245484,,,
52,52,139852.09106852027,312234.96954067104,3315.055355233666,,,
53,53,140087.82713268042,315747.7965530115,3314.3390456666248,,,
54,54,140324.32477289403,319260.40435900015,3313.6311034464115,,,
55,55,140590.14147192493,322796.73967724503,3312.847240096728,,,
56,56,140868.26587314045,326342.4577122986,3312.0391399849664,,,
57,57,141162.50116148466,329900.6888554021,3311.196275331887,,,
58,58,141458.44142767065,333459.3489957287,3310.3604753113477,,,
59,59,141753.41508642532,337016.2173094639,3309.5390207294677,,,
60,60,142038.14626877703,340563.55238963274,3308.7567686809293,,,
61,61,142281.2724841151,344075.2489417704,3308.0979747156616,,,
62,62,142521.82771544572,347584.027222683,3307.4548307618893,,,
63,63,142765.57401093014,351094.7232823981,3306.811893197903,,,
64,64,143010.63859357734,354605.76759169385,3306.173890595572,,,
65,65,143256.47900678634,358116.709897422,3305.5420137020856,,,
66,66,143505.7879699168,361629.80414001836,3304.909335910625,,,
67,67,143758.3464442766,365144.86994179257,3304.2764701121814,,,
68,68,144010.91696437506,368659.2162488412,3303.6514600656765,,,
69,69,144266.26791147824,372175.1464699224,3303.027225484698,,,
70,70,144525.0355304688,375693.19969504577,3302.402345208243,,,
71,71,144879.96663698123,379290.40755210875,3301.5555058468676,,,
72,72,145242.4287255501,382892.8911713417,3300.7008673026626,,,
73,73,145637.8467110119,386521.7574082862,3299.779598592799,,,
74,74,146063.26058149996,390174.43831738434,3298.7996991335726,,,
75,75,146497.2593885169,393833.1129263247,3297.8113805041057,,,
76,76,146933.9759962555,397492.91221972025,3296.8281082034823,,,
77,77,147378.51135703886,401158.0574823959,3295.8382613682747,,,
78,78,147832.0491894244,404829.5303276746,3294.839501772436,,,
79,79,148290.43323760835,408503.8792561119,3293.841088841817,,,
80,80,148755.93782125978,412182.9851528766,3292.8380916452106,,,
81,81,149225.0274030515,415863.9109211915,3291.838068125186,,,
82,82,149698.9150805322,419547.6569386699,3290.838315343141,,,
83,83,150116.8141132078,423183.9936808819,3289.966018887641,,,
84,84,150536.30755787695,426820.6513930864,3289.099331371541,,,
85,85,150870.90501278522,430386.1636253399,3288.414807206525,,,
86,86,151167.33961287577,433919.4018704869,3287.8146774140814,,,
87,87,151461.58676590008,437450.16370812536,3287.225022324429,,,
88,88,151752.9777241013,440977.8951972784,3286.6467894679217,,,
89,89,152014.67986337753,444480.48247400956,3286.1326136026046,,,
90,90,152278.12686542416,447983.93130296475,3285.620049306006,,,
91,91,152543.66637074554,451488.5297642237,3285.108388939323,,,
