iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
0,0,865058.1220398018,865058.1220398018,815266.2652666703,,,
1,1,890648.9464824548,1701682.2219636368,811033.2754811795,,,
2,2,911534.8083012394,2530072.4984018714,809268.8450503171,,,
3,3,932594.5080433853,3358599.654748473,808668.382235029,,,
4,4,949167.6640997676,4179500.1082109935,807583.1110278048,,,
5,5,966476.404372419,5000756.300389269,806855.97920337,,,
6,6,981995.2486713127,5819307.99170493,806218.7905056025,,,
7,7,998419.2375529897,6637572.6789500015,805593.348771,,,
8,8,1014748.3433015314,7455616.14329252,805108.474998876,,,
9,9,1030807.8670996107,8272595.712022289,804643.0938802983,,,
10,10,1046352.1268366717,9090453.637204662,804410.1510368004,,,
11,11,1055363.9390673547,9900638.974920334,804115.9123502717,,,
12,12,1067373.6360379506,10714857.74576829,803957.0091441958,,,
13,13,1077903.4081459444,11525975.80888099,803697.8769796224,,,
14,14,1086275.4542393174,12337395.050201757,803651.3997115999,,,
15,15,1099795.2144242811,13150552.48569914,803383.8180849893,,,
16,16,1101140.4930434974,13955706.10237386,803410.3505831469,,,
17,17,1120934.719736375,14773916.32149577,803116.5648093721,,,
18,18,1133494.0780188462,15587862.35510145,803020.4598379225,,,
19,19,1131592.8085239453,16389939.331789108,803070.8696455345,,,
20,20,1146123.2929553366,17203939.321351405,802890.801419801,,,
21,21,1161564.2941477203,18019363.69248467,802752.3523017599,,,
22,22,1156375.13368999,18817913.621788356,802797.2040044736,,,
23,23,1162411.0510013392,19626912.12430821,802804.3944916009,,,
24,24,1171621.6125310184,20437461.598446336,802743.3327464734,,,
25,25,1179223.8703190947,21244900.159380753,802627.0515624657,,,
26,26,1202367.4809091676,22066996.87362121,802485.7458735415,,,
27,27,1197875.8207795671,22863594.50493404,802434.0253390551,,,
28,28,1197316.8019331195,23669764.26991227,802587.4095706823,,,
29,29,1211292.388732138,24482246.361733064,802446.6887241711,,,
30,30,1232881.4612160653,25300838.812732432,802265.2450505457,,,
31,31,1243512.3838656268,26112114.15298068,802212.9602940334,,,
32,32,1225008.1494625283,26901035.153053105,802375.8438622054,,,
